epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,663.049,1.18187,0.67058,0.83679,0.48961,0.50724,0.58246,0.29412,1.40745,1.15997,0.83237,0.000387772,0.000387772,0.000387772
99,667.069,1.06829,0.60172,0.84027,0.48961,0.50724,0.58246,0.29412,1.40745,1.15997,0.83237,0.000388039,0.000388039,0.000388039
100,668.602,1.14172,0.64966,0.85062,0.59427,0.5188,0.58984,0.32825,1.22996,1.08215,0.81628,0.00038823,0.00038823,0.00038823
101,673.388,1.18394,0.84866,0.85032,0.59427,0.5188,0.58984,0.32825,1.22996,1.08215,0.81628,0.000388345,0.000388345,0.000388345
102,681.928,1.28273,0.79232,0.86982,0.59427,0.5188,0.58984,0.32825,1.22996,1.08215,0.81628,0.000384538,0.000384538,0.000384538
103,683.503,1.09966,0.6647,0.82943,0.59427,0.5188,0.58984,0.32825,1.22996,1.08215,0.81628,0.000380732,0.000380732,0.000380732
104,685.302,1.28152,0.68642,0.82312,0.79745,0.56465,0.65033,0.34068,1.24518,0.70056,0.81888,0.000376925,0.000376925,0.000376925
105,693.882,1.34322,0.74104,0.82521,0.79745,0.56465,0.65033,0.34068,1.24518,0.70056,0.81888,0.000373119,0.000373119,0.000373119
106,703.676,1.05307,0.59994,0.84742,0.79745,0.56465,0.65033,0.34068,1.24518,0.70056,0.81888,0.000369312,0.000369312,0.000369312
107,718.204,1.40045,0.76212,0.82641,0.79745,0.56465,0.65033,0.34068,1.24518,0.70056,0.81888,0.000365506,0.000365506,0.000365506
108,732.723,1.23077,0.67196,0.83284,0.56892,0.63814,0.68216,0.35925,1.27299,0.777,0.81801,0.000361699,0.000361699,0.000361699
109,746.884,1.12131,0.65942,0.82823,0.56892,0.63814,0.68216,0.35925,1.27299,0.777,0.81801,0.000357893,0.000357893,0.000357893
110,755.069,1.11599,0.66119,0.82276,0.56892,0.63814,0.68216,0.35925,1.27299,0.777,0.81801,0.000354086,0.000354086,0.000354086
111,769.476,1.09194,0.68939,0.84618,0.56892,0.63814,0.68216,0.35925,1.27299,0.777,0.81801,0.00035028,0.00035028,0.00035028
112,776.977,1.38003,0.83158,0.81164,0.656,0.61734,0.69207,0.37613,1.1775,0.70967,0.80601,0.000346473,0.000346473,0.000346473
113,784.171,1.20455,0.66157,0.81213,0.656,0.61734,0.69207,0.37613,1.1775,0.70967,0.80601,0.000342666,0.000342666,0.000342666
114,790.403,1.22324,0.68555,0.81943,0.656,0.61734,0.69207,0.37613,1.1775,0.70967,0.80601,0.00033886,0.00033886,0.00033886
115,802.417,1.2842,0.79542,0.84064,0.656,0.61734,0.69207,0.37613,1.1775,0.70967,0.80601,0.000335053,0.000335053,0.000335053
116,814.628,1.2769,0.76049,0.80608,0.66113,0.6282,0.69957,0.3888,1.14567,0.64624,0.8017,0.000331247,0.000331247,0.000331247
117,822.74,1.18846,0.65649,0.82373,0.66113,0.6282,0.69957,0.3888,1.14567,0.64624,0.8017,0.00032744,0.00032744,0.00032744
118,831.286,1.11595,0.59808,0.82075,0.66113,0.6282,0.69957,0.3888,1.14567,0.64624,0.8017,0.000323634,0.000323634,0.000323634
119,843.289,1.16337,0.65625,0.82911,0.66113,0.6282,0.69957,0.3888,1.14567,0.64624,0.8017,0.000319827,0.000319827,0.000319827
120,857.638,1.23771,0.66633,0.80909,0.64966,0.61932,0.70493,0.38001,1.18134,0.66267,0.80514,0.000316021,0.000316021,0.000316021
121,865.578,1.16074,0.61837,0.83724,0.64966,0.61932,0.70493,0.38001,1.18134,0.66267,0.80514,0.000312214,0.000312214,0.000312214
122,872.595,1.20393,0.64831,0.82443,0.64966,0.61932,0.70493,0.38001,1.18134,0.66267,0.80514,0.000308407,0.000308407,0.000308407
123,880.619,1.09677,0.65353,0.81471,0.64966,0.61932,0.70493,0.38001,1.18134,0.66267,0.80514,0.000304601,0.000304601,0.000304601
124,882.292,1.11724,0.6209,0.83103,0.83013,0.58585,0.70173,0.37757,1.20443,0.68061,0.80982,0.000300794,0.000300794,0.000300794
125,886.522,1.08874,0.63949,0.85258,0.83013,0.58585,0.70173,0.37757,1.20443,0.68061,0.80982,0.000296988,0.000296988,0.000296988
126,888.361,1.10472,0.59201,0.81589,0.83013,0.58585,0.70173,0.37757,1.20443,0.68061,0.80982,0.000293181,0.000293181,0.000293181
127,894.531,1.05108,0.64193,0.83625,0.83013,0.58585,0.70173,0.37757,1.20443,0.68061,0.80982,0.000289375,0.000289375,0.000289375
128,901.23,1.04376,0.60503,0.8275,0.88691,0.57609,0.69053,0.37669,1.22032,0.67137,0.81152,0.000285568,0.000285568,0.000285568
129,908.052,1.30184,0.67783,0.82725,0.88691,0.57609,0.69053,0.37669,1.22032,0.67137,0.81152,0.000281762,0.000281762,0.000281762
130,915.404,1.02476,0.54192,0.82589,0.88691,0.57609,0.69053,0.37669,1.22032,0.67137,0.81152,0.000277955,0.000277955,0.000277955
131,922.238,1.09706,0.58907,0.83886,0.88691,0.57609,0.69053,0.37669,1.22032,0.67137,0.81152,0.000274148,0.000274148,0.000274148
132,928.112,0.95292,0.54321,0.83456,0.82992,0.58076,0.65654,0.37507,1.191,0.70466,0.81099,0.000270342,0.000270342,0.000270342
133,935.311,1.13518,0.59223,0.80692,0.82992,0.58076,0.65654,0.37507,1.191,0.70466,0.81099,0.000266535,0.000266535,0.000266535
134,937.929,1.17351,0.63258,0.8284,0.82992,0.58076,0.65654,0.37507,1.191,0.70466,0.81099,0.000262729,0.000262729,0.000262729
135,942.797,1.22456,0.66848,0.81954,0.82992,0.58076,0.65654,0.37507,1.191,0.70466,0.81099,0.000258922,0.000258922,0.000258922
136,951.807,0.9354,0.51388,0.83485,0.79615,0.5754,0.65356,0.36976,1.18023,0.76266,0.81143,0.000255116,0.000255116,0.000255116
137,953.479,1.20707,0.83278,0.84485,0.79615,0.5754,0.65356,0.36976,1.18023,0.76266,0.81143,0.000251309,0.000251309,0.000251309
138,955.288,1.00239,0.54086,0.83582,0.79615,0.5754,0.65356,0.36976,1.18023,0.76266,0.81143,0.000247503,0.000247503,0.000247503
139,962.523,1.13727,0.62999,0.81216,0.79615,0.5754,0.65356,0.36976,1.18023,0.76266,0.81143,0.000243696,0.000243696,0.000243696
140,964.251,1.06498,0.57883,0.84276,0.8246,0.54083,0.6511,0.36116,1.1965,0.75938,0.81199,0.00023989,0.00023989,0.00023989
141,971.033,1.34972,0.70749,0.81282,0.8246,0.54083,0.6511,0.36116,1.1965,0.75938,0.81199,0.000236083,0.000236083,0.000236083
142,977.596,1.32779,0.71914,0.81756,0.8246,0.54083,0.6511,0.36116,1.1965,0.75938,0.81199,0.000232276,0.000232276,0.000232276
143,985.088,1.06619,0.55906,0.81655,0.8246,0.54083,0.6511,0.36116,1.1965,0.75938,0.81199,0.00022847,0.00022847,0.00022847
144,992.099,1.25877,0.68757,0.79895,0.85606,0.55185,0.66676,0.3714,1.17113,0.72212,0.80946,0.000224663,0.000224663,0.000224663
145,999.029,1.36848,0.78907,0.83075,0.85606,0.55185,0.66676,0.3714,1.17113,0.72212,0.80946,0.000220857,0.000220857,0.000220857
146,1000.84,1.30179,0.77487,0.87177,0.85606,0.55185,0.66676,0.3714,1.17113,0.72212,0.80946,0.00021705,0.00021705,0.00021705
147,1007.13,1.22397,0.65094,0.82385,0.85606,0.55185,0.66676,0.3714,1.17113,0.72212,0.80946,0.000213244,0.000213244,0.000213244
148,1009.17,0.99396,0.52284,0.79793,0.79415,0.56792,0.6646,0.37737,1.15137,0.6776,0.80471,0.000209437,0.000209437,0.000209437
149,1014.81,1.07876,0.55247,0.82314,0.79415,0.56792,0.6646,0.37737,1.15137,0.6776,0.80471,0.000205631,0.000205631,0.000205631
150,1022.19,0.91586,0.54326,0.83146,0.79415,0.56792,0.6646,0.37737,1.15137,0.6776,0.80471,0.000201824,0.000201824,0.000201824
151,1023.85,0.94853,0.55007,0.82719,0.79415,0.56792,0.6646,0.37737,1.15137,0.6776,0.80471,0.000198018,0.000198018,0.000198018
152,1034.93,1.06061,0.56526,0.82128,0.71429,0.60655,0.66876,0.3792,1.15382,0.66049,0.80042,0.000194211,0.000194211,0.000194211
153,1041.77,1.10699,0.58131,0.81471,0.71429,0.60655,0.66876,0.3792,1.15382,0.66049,0.80042,0.000190404,0.000190404,0.000190404
154,1048.81,0.97552,0.5507,0.81618,0.71429,0.60655,0.66876,0.3792,1.15382,0.66049,0.80042,0.000186598,0.000186598,0.000186598
155,1056.09,1.12143,0.58208,0.79413,0.71429,0.60655,0.66876,0.3792,1.15382,0.66049,0.80042,0.000182791,0.000182791,0.000182791
156,1063.11,1.24828,0.61623,0.80688,0.72852,0.62611,0.67367,0.37887,1.14154,0.63073,0.79862,0.000178985,0.000178985,0.000178985
157,1064.91,0.97041,0.53421,0.81392,0.72852,0.62611,0.67367,0.37887,1.14154,0.63073,0.79862,0.000175178,0.000175178,0.000175178
158,1072.19,0.967,0.51539,0.82077,0.72852,0.62611,0.67367,0.37887,1.14154,0.63073,0.79862,0.000171372,0.000171372,0.000171372
159,1074.55,1.45182,0.74194,0.82969,0.72852,0.62611,0.67367,0.37887,1.14154,0.63073,0.79862,0.000167565,0.000167565,0.000167565
160,1080.26,0.98348,0.59381,0.8383,0.71973,0.62607,0.68698,0.38708,1.12787,0.62627,0.80011,0.000163759,0.000163759,0.000163759
161,1087.31,1.19472,0.60148,0.80649,0.71973,0.62607,0.68698,0.38708,1.12787,0.62627,0.80011,0.000159952,0.000159952,0.000159952
162,1089.32,1.12865,0.58467,0.80945,0.71973,0.62607,0.68698,0.38708,1.12787,0.62627,0.80011,0.000156145,0.000156145,0.000156145
163,1097.27,1.02964,0.53022,0.82116,0.71973,0.62607,0.68698,0.38708,1.12787,0.62627,0.80011,0.000152339,0.000152339,0.000152339
164,1104.55,0.99611,0.54428,0.79928,0.71888,0.63942,0.68314,0.38766,1.12781,0.63456,0.8005,0.000148532,0.000148532,0.000148532
165,1110.77,0.8893,0.46364,0.8164,0.71888,0.63942,0.68314,0.38766,1.12781,0.63456,0.8005,0.000144726,0.000144726,0.000144726
166,1117.36,1.05643,0.56763,0.83403,0.71888,0.63942,0.68314,0.38766,1.12781,0.63456,0.8005,0.000140919,0.000140919,0.000140919
167,1124.02,1.07573,0.54458,0.80419,0.71888,0.63942,0.68314,0.38766,1.12781,0.63456,0.8005,0.000137113,0.000137113,0.000137113
168,1126.09,1.1264,0.60148,0.78898,0.6022,0.6555,0.691,0.38471,1.12254,0.63015,0.80123,0.000133306,0.000133306,0.000133306
169,1132.05,1.08108,0.56051,0.80786,0.6022,0.6555,0.691,0.38471,1.12254,0.63015,0.80123,0.0001295,0.0001295,0.0001295
170,1134.47,1.0763,0.60455,0.80838,0.6022,0.6555,0.691,0.38471,1.12254,0.63015,0.80123,0.000125693,0.000125693,0.000125693
171,1142.35,1.17587,0.67052,0.85584,0.6022,0.6555,0.691,0.38471,1.12254,0.63015,0.80123,0.000121887,0.000121887,0.000121887
172,1148.5,1.07368,0.63943,0.80503,0.59889,0.67093,0.67578,0.39743,1.09856,0.6173,0.79768,0.00011808,0.00011808,0.00011808
173,1156.72,0.90697,0.4883,0.81233,0.59889,0.67093,0.67578,0.39743,1.09856,0.6173,0.79768,0.000114273,0.000114273,0.000114273
174,1168,0.93816,0.49046,0.8214,0.59889,0.67093,0.67578,0.39743,1.09856,0.6173,0.79768,0.000110467,0.000110467,0.000110467
175,1180.39,1.14085,0.59972,0.80326,0.59889,0.67093,0.67578,0.39743,1.09856,0.6173,0.79768,0.00010666,0.00010666,0.00010666
176,1195.45,1.0922,0.58775,0.81809,0.60924,0.65092,0.67609,0.4018,1.08757,0.60979,0.79594,0.000102854,0.000102854,0.000102854
177,1204.36,1.18614,0.61651,0.813,0.60924,0.65092,0.67609,0.4018,1.08757,0.60979,0.79594,9.90472e-05,9.90472e-05,9.90472e-05
178,1210.53,0.99461,0.53432,0.80318,0.60924,0.65092,0.67609,0.4018,1.08757,0.60979,0.79594,9.52406e-05,9.52406e-05,9.52406e-05
179,1217.2,1.03991,0.57285,0.80416,0.60924,0.65092,0.67609,0.4018,1.08757,0.60979,0.79594,9.14341e-05,9.14341e-05,9.14341e-05
180,1229.63,1.02283,0.54822,0.81076,0.61667,0.67795,0.68727,0.40433,1.07256,0.59714,0.79437,8.76275e-05,8.76275e-05,8.76275e-05
